ID,English,Korean,Japanese, Chinese,Type,,,
di_3001_b,Just so happens I got some good liquor in,마침 좋은 술이 들어 왔거든요.,ちょうど 良い お酒 が 入荷 した んですよ,正好 进 了 些 好酒,대화,,,
di_3001_c,Inn,여관,宿屋,客栈,Select,,,
di_3001_d,I am tired so I will rest for a bit before I leave,피곤하니 좀 쉬다 갈께.,疲れた ので 少し 休んで から 帰ります,有点 疲倦 所以 歇会 儿 再 离开,Select,,,
di_3002_a,I can lend it but you have to return it within {0},빌려 줄 수는 있지만 {0} 내로 다시 돌려줘야 해요.,貸す こと は できます が {0}以内 に 返して ください,可以 借给 你 但是 必须 在 {0} 内 还 回来,대화,,,
di_3002_b,24 hours,24시간,24 時間,24 小时,단어,,,
di_3002_c,Otherwise you do not know what will happen,그렇지 않으면 무슨 일이 생길지 몰라요.,さもないと 何が 起こる か 分かりません よ,否则 你 不 知道 会 发生 什么 事,대화,,,
di_3002_d,Got it,알았어.,分かった,明白 了,Select,,,
di_3002_e,No,아니야,ちがう,不是,Select,,,
di_3002_f,Can I borrow some money,돈을 빌릴 수 있을까.,お金 を 借りる こと が できますか,可以 借 我 点儿 钱 吗,Select,,,
di_3003_a,A cat needs to have {0},고양이는 말이죠....{0}이 있어야 해요.,猫と いう ものは {0}が 必要な です,猫 呀 是 需要 有 {0}的,대화,,,
di_3003_b,trust,신용,信用,信用,단어,,,
di_3003_c,Sorry. I will give it back,미안해. 돌려줄께.,ごめん. 返す ね,对不起. 我 会 还给 你 的.,Select,,,
di_3004_a,Anyway since you are the one who made the mistake I will take my share,뭐 어쨋건 잘못을 한건 당신이니까 나는 내 몫을 가져갈께요.,とにかく 間違えた の は あなた な ので 私 は 私 の 分 を もらいます,总之 犯错 的 是 你 我 会 拿走 我 的 份 儿,대화,,,
di_3004_b,May you have good luck on your future voyages,앞으로 항해에 행운이 있기를...,今後 の 航海 に 幸運 が あります ように,愿 你 未来 的 航行 一帆风顺,대화,,,
di_3004_c,Stop joking,웃기지마.,冗談は よして,别 开玩笑 了,Select,,,
di_3004_d,(Return the borrowed money.),(빌린 돈을 돌려준다.),(借りた お金 を 返す.),(归还 借来 的 钱),Select,,,
di_3004_e,.....,.....,.....,.....,Select,,,
di_3005_a,I came to repay the money.,돈을 갚으러 왔어.,お金を 返しに 来ました,我 是 来 还 钱 的.,ID,,,
di_3005_b,It seems you have some extra funds now {0},이제 여유가 생겼나보네요. {0}.,これで 余裕 が できた ようですね {0},你 现在 似乎 有 钱 了 {0},대화,,,
di_3005_c,Congratulations,축하해요,おめでとう,恭喜 你,단어,,,
di_3006_a,I have settled the account completely.,확실하게 정산했습니다.,確かに 精算 いたしました.,已经 彻底 结清 了.,대화,,,
di_3006_b,And since repayment is possible any time you can return it when you have the extra money.,그리고 언제든 대출상환이 가능하니까 여유가 생기면 돌려주시면 됩니다.,それ に いつでも 返済 可能 ですから 余裕 が できたら お返し ください.,而且 随时 都 可以 还款 所以 有 余力 的 时候 还给 我 就 行.,대화,,,
di_3007_a,I think I am short on money.,돈이 모자란 거 같아요.,お金 が 足りない ようです.,我 好像 钱 不 够.,대화,,,
di_3008_a,I guess I will have to take something else,다른 것으로 가져가야 겠네요.,別の もの を 持って 行く 必要 が あります.,我 应该 拿 别的 东西 了.,대화,,,
di_3008_b,(Everything has been taken),(모두 가져가 버렸다.),(全て 持って 行って しまった),(全部 都 拿走 了),Select,,,
di_4001_a,You are lucky I do not come around every day,운이 좋군. 날이면 날마다 오는 내가 아니야.,運 が 良いな 私は 毎日 来る ような 者じゃない,你 很 走运 我 可 不是 天天 都会 来 的 人,대화,,,
di_4001_b,Do you need anything?,필요한게 있어?,何か 必要 ですか?,你 有 什么 需要 吗?,대화,,,
di_4001_c,Show me the items,물건을 보여줘.,商品を 見せて,请 把 东西 给 我 看看,Select,,,
