ID,Name,Description,Icon,Max Amount,Shape,Weight,Price,Type,Size,Health,Power,FieldRadius,Speed,AttckSpeed,Turn Delay,Hit Value
Fs_2001,Yellowtail,방어,2D_LargemouthBass_2D,1,-1;0/0;1,1.2,3000,Health,60;120,10,1,10,1,1,1;3,0.1;0.5
Fs_2002,Sevenband Grouper,능성어,2D_LargemouthBass_2D,1,-1;0/0;1,1,3500,Strength,50;100,10,1,10,1,1,1;3,0.1;0.5
Fs_2003,Giant Sea Bass,돗돔,2D_LargemouthBass_2D,1,-1;0/0;1,0.6,5000,Strength,100;180,10,1,10,1,1,1;3,0.1;0.5
Fs_2004,Octopus,문어,2D_LargemouthBass_2D,1,-1;0/0;1,1,3000,Agility,150;250,10,1,10,1,1,1;3,0.1;0.5
Fs_2005,Amberjack,부시리,2D_LargemouthBass_2D,1,-1;0/0;1,1.5,4000,Strength,80;150,10,1,10,1,1,1;3,0.1;0.5
Fs_2006,Spotted Grouper,자바리,2D_LargemouthBass_2D,1,-1;0/0;1,1.2,4500,Health,70;130,10,1,10,1,1,1;3,0.1;0.5
Fs_2007,Tiger Puffer,황복어,2D_LargemouthBass_2D,1,-1;0/0;1,0.5,1000,Health,20;40,10,1,10,1,1,1;3,0.1;0.5
Fs_2008,Ocean Sunfish,개복치,2D_LargemouthBass_2D,1,-1;0/0;1,2,6000,Strength,150;250,10,1,10,1,1,1;3,0.1;0.5
Fs_2009,Tuna,참치,2D_LargemouthBass_2D,1,-1;0/0;1,2,10000,Strength,200;400,10,1,10,1,1,1;3,0.1;0.5
Fs_2010,Swordfish,황새치,2D_LargemouthBass_2D,1,-1;0/0;1,2.4,12000,Agility,250;500,10,1,10,1,1,1;3,0.1;0.5
Fs_2011,Old Net,낡은 그물,2D_LargemouthBass_2D,1,-1;0/0;1,0.5,50,Health,10;0,10,1,10,1,1,1;3,0.1;0.5
Fs_2012,Broken Bottle,깨진 병,2D_LargemouthBass_2D,1,-1;0/0;1,0.1,40,Agility,2;0,10,1,10,1,1,1;3,0.1;0.5
Fs_2013,Seaweed,해초,2D_LargemouthBass_2D,1,-1;0/0;1,0.1,30,Health,4;0,10,1,10,1,1,1;3,0.1;0.5
Fs_2014,Rebar Piece,철조각,2D_LargemouthBass_2D,1,-1;0/0;1,0.2,60,Strength,2;0,10,1,10,1,1,1;3,0.1;0.5
Fs_2015,Advanced Engine Parts,고급 엔진 재료,2D_LargemouthBass_2D,1,-1;0/0;1,2,2000,Strength,10;0,10,1,10,1,1,1;3,0.1;0.5
Fs_3001,Sturgeon,철갑상어,2D_LargemouthBass_2D,1,-1;0/0;1,2.5,20000,Strength,150;300,10,1,10,1,1,1;3,0.1;0.5
Fs_3002,Grouper,다금바리,2D_LargemouthBass_2D,1,-1;0/0;1,1.5,30000,Agility,80;150,10,1,10,1,1,1;3,0.1;0.5
Fs_3003,Marlin,청새치,2D_LargemouthBass_2D,1,-1;0/0;1,2.5,35000,Health,300;600,10,1,10,1,1,1;3,0.1;0.5
Fs_3004,Giant Squid,대왕 오징어,2D_LargemouthBass_2D,1,-1;0/0;1,5,40000,Health,500;1000,10,1,10,1,1,1;3,0.1;0.5
Fs_3005,Dolphin Fish,만새기,2D_LargemouthBass_2D,1,-1;0/0;1,3,40000,Strength,100;180,10,1,10,1,1,1;3,0.1;0.5
Fs_3006,Discarded Pad,버려진 패드,2D_LargemouthBass_2D,1,-1;0/0;1,0.4,200,Agility,3;0,10,1,10,1,1,1;3,0.1;0.5
Fs_3007,Discarded Phone,버려진 폰,2D_LargemouthBass_2D,1,-1;0/0;1,0.2,500,Agility,1;5,10,1,10,1,1,1;3,0.1;0.5
Fs_3008,Rare Engine Parts,희귀 엔진 재료,2D_LargemouthBass_2D,1,-1;0/0;1,2.5,10000,Strength,10;0,10,1,10,1,1,1;3,0.1;0.5
Fs_4001,Great White Shark,백상아리,2D_LargemouthBass_2D,1,-1;0/0;1,7,100000,Strength,600;1200,10,1,10,1,1,1;3,0.1;0.5
Fs_4002,Ancient Arapaima,고대 피라루쿠,2D_LargemouthBass_2D,1,-1;0/0;1,9,200000,Health,400;800,10,1,10,1,1,1;3,0.1;0.5
Fs_4003,The King of the Deep,심해의 왕,2D_LargemouthBass_2D,1,-1;0/0;1,10,300000,Strength,700;1500,10,1,10,1,1,1;3,0.1;0.5
