ID,English,Korean,Japanese, Chinese,Type,,
sk_002_00,Powerful strength 1,강력한 힘 1,強力な力 1,强大的力量 1,스킬,,
sk_002_00_a,Quickly deplete the fish's stamina,물고기의 체력을 빠르게 빼앗는다.,魚の体力を素早く奪う,快速消耗鱼的体力,설명,,
sk_003_00,Quick hand movements 1,재빠른 손놀림 1,機敏な手捌き 1,敏捷的手法 1,스킬,,
sk_003_00_a,Fishing control speed increases,낚시의 컨트롤이 빨라진다.,釣りのコントロールが 速くなる,钓鱼 的 操控 速度 变快 了,설명,,
sk_004_00,Wind and sea 1,바람과 바다 1, 風と海 1, 风与海 1,스킬,,
sk_004_00_a,The ship's speed increases,배의 속도가 빨라진다.,船の速度が速くなる,船 的 速度 变快 了,설명,,
sk_005_00,Greedy 1,욕심쟁이 1,強欲な人 1,贪婪的人 1,스킬,,
sk_005_00_a,The carrying weight increases,실을 수 있는 무게가 늘어난다.,積載 できる 重さ が 増える,可 承载 的 重量 增加 了,설명,,
sk_006_00,Wanderer 1,방랑자 1,放浪者 1,流浪者 1,스킬,,
sk_006_00_a,The fuel capacity is increased,연료를 더 많이 넣을 수 있다.,燃料をより 多く 入れる ことが できる,可以 装载 更多 燃料,설명,,
sk_007_00,Eco 1,친환경 1,環境に優しい 1,环保 1,스킬,,
sk_007_00_a,Fuel efficiency improves,연료의 효율이 좋아진다.,燃料 の 効率 が 良く なる,燃料 效率 提高,설명,,
sk_008_00,More 1,더 많이!! 1,もっと 1,更多 1,스킬,,
sk_008_00_a,The inventory increases by one row,인벤토리가 1열 늘어난다.,インベントリ が 1 列 増える,背包 增加 一行,설명,,
sk_009_00,Thick skin 1,두꺼운 피부 1,分厚い皮 1,厚皮 1,스킬,,
sk_009_00_a,The ship becomes resistant to impact,선박이 충격에 강해진다.,船舶 が 衝撃 に 強く なる,船舶 更加 耐 撞,설명,,
sk_010_00,Luck 1,행운 1,幸運 1,幸运 1,스킬,,
sk_010_00_a,Rare fish appear with a certain probability,일정 확률로 희귀한 물고기가 등장한다.,一定 確率 で 珍しい 魚 が 出現 する,有 一定 概率 出现 稀有 鱼 类,설명,,
sk_011_00,Killing two birds with one stone 1,일타쌍피 1,一石二鳥 1,一箭双雕 1,스킬,,
sk_011_00_a,Catch an extra fish with a certain probability,일정 확률로 추가 물고기를 낚는다.,一定 確率 で 追加 の 魚 を 釣る,有 一定 概率 钓 到 额外 的 鱼,설명,,
sk_012_00,A resourceful person 1,수완가,やり手 1,能人 1,스킬,,
sk_012_00_a,Sell fish for a higher price at the store,상점에 물고기를 더 비싸게 판매,店 に 魚 を より 高く 売る,将 鱼 以 更高 价格 出售 给 商店,설명,,
sk_013_00,,창고확장??? 만들까?,,,스킬,,
sk_013_00_a,,창고를 사용하려면 아이템이 많아야,,,설명,,
sk_014_01,Master Angler,낚시왕,釣り王,钓鱼王,스킬,,
sk_014_01_a,The defense indicator decreases,방어 화살표가 줄어든다.,防御 の 矢印 が 減る,防御 指示 箭头 减少,설명,,
sk_100_00,Basic ship,기본 배,基本の船,基本船,스킬,,
sk_100_00_a,Basic fishing boat,낚시용 기본 배,基本 の 釣り船,基本 渔船,설명,,
sk_100_01,Speedboat,쾌속선,高速船,快艇,스킬,,common 고기가 잡혔을때 스킬 터지면 uncommon이 나옴
sk_100_01_a,It is fast but weak because it is light,빠른 지만 가벼운 만큼 약하다.,迅速 だが 軽量 の ため 脆い,速度 快 但 由于 轻盈 所以 脆弱,설명,,
sk_100_02,Raft,땟목,いかだ,木筏,스킬,,
sk_100_02_a,The first ship is eco-friendly,최초의 배 친환경적이다.,一番 最初 の 舟 は エコフレンドリー だ,最初 的 船 是 环保 的,설명,,
sk_100_03,Cruise,크루즈,クルーズ,邮轮,스킬,,
sk_100_03_a,A luxurious ship as a passenger liner it is very sturdy,호화로운 배. 여객선인 만큼 아주 튼튼하다.,贅沢な 船舶 は 旅客船 の ため 非常に 頑丈 だ,这艘 奢侈 的 船 是 一艘 客船 因此 非常 结实,설명,,
sk_100_04,Sailing ship,범선,帆船,帆船,스킬,,
sk_100_04_a,Luck always follows the wind,행운은 언제나 바람을 따라 오는 법,幸運 は いつも 風 に 乗って やって 来る,幸运 总是 随风 而 来,설명,,
sk_100_05,Small motorized boat,통통배,小型動力船,机动船,스킬,,
sk_100_05_a,The boat chosen by fishing experts,낚시 전문가들이 선택한 그 배.,釣り の 専門家 たち が 選んだ その 船,钓鱼 专家们 选择 的 那艘 船,설명,,
sk_100_06,Swan boat,오리배,スワン ボート,脚踏船,스킬,,
sk_100_06_a,The eco-friendly ship loved by fish,물고기가 사랑한 자연 친화적인 배,魚 に 好まれる エコフレンドリー な ボート,受 鱼 类 欢迎 的 环保 船,설명,,
